Any,nomCom,F_MORTS
2015,Noguera,5
2015,Osona,7
2015,Pallars Jussà,1
2015,Pallars Sobirà,3
2015,Pla d'Urgell,5
2015,Pla de l'Estany,0
2015,Priorat,3
2015,Ribera d'Ebre,5
2015,Ripollès,1
2015,Segarra,3
2015,Segrià,15
2015,Selva,6
2015,Solsonès,1
2015,Tarragonès,14
2015,Terra Alta,2
2015,Urgell,4
2015,Val d'Aran,2
2015,Vallès Occidental,14
2015,Vallès Oriental,10
2016,Alt Camp,3
2016,Alt Empordà,13
2016,Alt Penedès,0
2016,Alt Urgell,3
2016,Alta Ribagorça,0
2016,Anoia,3
2016,Bages,8
2016,Baix Camp,5
2016,Baix Ebre,9
2016,Baix Empordà,4
2016,Baix Llobregat,7
2016,Baix Penedès,2
2016,Barcelonès,42
2016,Berguedà,1
2016,Cerdanya,1
2016,Conca de Barberà,3
2016,Garraf,7
2016,Garrigues,1
2016,Garrotxa,4
2016,Gironès,4
2016,Maresme,6
2016,Moianès,0
2016,Montsià,17
2016,Noguera,5
2016,Osona,5
2016,Pallars Jussà,0
2016,Pallars Sobirà,0
2016,Pla d'Urgell,1
2016,Pla de l'Estany,2
2016,Priorat,0
2016,Ribera d'Ebre,1
2016,Ripollès,0
2016,Segarra,5
2016,Segrià,10
2016,Selva,18
2016,Solsonès,2
2016,Tarragonès,9
2016,Terra Alta,0
2016,Urgell,1
2016,Val d'Aran,2
2016,Vallès Occidental,14
2016,Vallès Oriental,13
2017,Alt Camp,9
2017,Alt Empordà,8
2017,Alt Penedès,7
2017,Alt Urgell,3
2017,Alta Ribagorça,2
2017,Anoia,7
2017,Bages,5
2017,Baix Camp,7
2017,Baix Ebre,7
2017,Baix Empordà,6
2017,Baix Llobregat,19
2017,Baix Penedès,2
2017,Barcelonès,18
2017,Berguedà,3
2017,Cerdanya,1
2017,Conca de Barberà,1
2017,Garraf,3
2017,Garrigues,4
2017,Garrotxa,4
2017,Gironès,11
2017,Maresme,14
2017,Moianès,0
2017,Montsià,6
2017,Noguera,7
2017,Osona,9
2017,Pallars Jussà,1
2017,Pallars Sobirà,1
2017,Pla d'Urgell,2
2017,Pla de l'Estany,0
2017,Priorat,1
2017,Ribera d'Ebre,3
2017,Ripollès,5
2017,Segarra,2
2017,Segrià,8
2017,Selva,8
2017,Solsonès,1
2017,Tarragonès,8
2017,Terra Alta,1
2017,Urgell,4
2017,Val d'Aran,1
2017,Vallès Occidental,17
2017,Vallès Oriental,14
2018,Alt Camp,1
2018,Alt Empordà,15
2018,Alt Penedès,3
2018,Alt Urgell,5
2018,Alta Ribagorça,1
2018,Anoia,6
2018,Bages,9
2018,Baix Camp,13
2018,Baix Ebre,8
2018,Baix Empordà,5
2018,Baix Llobregat,13
2018,Baix Penedès,9
2018,Barcelonès,28
2018,Berguedà,2
2018,Cerdanya,2
2018,Conca de Barberà,0
2018,Garraf,8
2018,Garrigues,2
2018,Garrotxa,3
2018,Gironès,12
2018,Maresme,8
2018,Moianès,0
2018,Montsià,9
2018,Noguera,7
2018,Osona,14
2018,Pallars Jussà,0
2018,Pallars Sobirà,2
2018,Pla d'Urgell,2
2018,Pla de l'Estany,0
2018,Priorat,1
2018,Ribera d'Ebre,2
2018,Ripollès,0
2018,Segarra,6
2018,Segrià,9
2018,Selva,10
2018,Solsonès,0
2018,Tarragonès,9
2018,Terra Alta,2
2018,Urgell,0
2018,Val d'Aran,1
2018,Vallès Occidental,14
2018,Vallès Oriental,19
2019,Alt Camp,5
2019,Alt Empordà,8
2019,Alt Penedès,7
2019,Alt Urgell,2
2019,Alta Ribagorça,0
2019,Anoia,17
2019,Bages,8
2019,Baix Camp,7
2019,Baix Ebre,12
2019,Baix Empordà,4
2019,Baix Llobregat,18
2019,Baix Penedès,1
2019,Barcelonès,31
2019,Berguedà,0
2019,Cerdanya,1
2019,Conca de Barberà,3
2019,Garraf,2
2019,Garrigues,2
2019,Garrotxa,2
2019,Gironès,11
2019,Maresme,13
2019,Moianès,0
2019,Montsià,5
2019,Noguera,8
2019,Osona,5
2019,Pallars Jussà,1
2019,Pallars Sobirà,0
2019,Pla d'Urgell,1
2019,Pla de l'Estany,1
2019,Priorat,0
2019,Ribera d'Ebre,0
2019,Ripollès,0
2019,Segarra,5
2019,Segrià,11
2019,Selva,10
2019,Solsonès,2
2019,Tarragonès,7
2019,Terra Alta,4
2019,Urgell,2
2019,Val d'Aran,0
2019,Vallès Occidental,13
2019,Vallès Oriental,13
2020,Alt Camp,0
2020,Alt Empordà,3
2020,Alt Penedès,7
2020,Alt Urgell,1
2020,Alta Ribagorça,0
2020,Anoia,3
2020,Bages,2
2020,Baix Camp,7
2020,Baix Ebre,4
2020,Baix Empordà,2
2020,Baix Llobregat,17
2020,Baix Penedès,5
2020,Barcelonès,20
2020,Berguedà,2
2020,Cerdanya,1
2020,Conca de Barberà,1
2020,Garraf,3
2020,Garrigues,1
2020,Garrotxa,0
2020,Gironès,5
2020,Maresme,4
2020,Moianès,1
2020,Montsià,3
2020,Noguera,3
2020,Osona,3
2020,Pallars Jussà,0
2020,Pallars Sobirà,1
2020,Pla d'Urgell,1
2020,Pla de l'Estany,1
2020,Priorat,1
2020,Ribera d'Ebre,1
2020,Ripollès,2
2020,Segarra,0
2020,Segrià,12
2020,Selva,8
2020,Solsonès,0
2020,Tarragonès,7
2020,Terra Alta,0
2020,Urgell,0
2020,Val d'Aran,1
2020,Vallès Occidental,10
2020,Vallès Oriental,16
2021,Alt Camp,2
2021,Alt Empordà,12
2021,Alt Penedès,7
2021,Alt Urgell,2
2021,Alta Ribagorça,0
2021,Anoia,3
2021,Bages,3
2021,Baix Camp,6
2021,Baix Ebre,4
2021,Baix Empordà,7
2021,Baix Llobregat,12
2021,Baix Penedès,1
2021,Barcelonès,18
2021,Berguedà,1
2021,Cerdanya,1
2021,Conca de Barberà,0
2021,Garraf,3
2021,Garrigues,3
2021,Garrotxa,3
2021,Gironès,13
